1	293289.8144	5049038.7842
2	293242.3830	5049081.5469
3	293174.8645	5049142.2762
4	293102.4805	5049207.4237
5	293848.9407	5048750.9207
6	293767.9343	5048827.2339
7	293713.2244	5048878.7742
8	293614.2178	5048967.8683
9	293528.8795	5049047.8090
10	293489.7940	5049084.4235
11	293331.6204	5049232.3545
12	293277.2254	5049283.2084
13	293687.3844	5049061.1236
14	293642.5774	5049121.1331
15	293590.6626	5049190.6619
16	293752.5481	5049084.5551
17	293695.7246	5049160.8661
18	293641.3306	5049233.9144
19	294148.6888	5049127.2562
20	294110.9157	5049178.1235
21	294067.0246	5049237.2301
22	294196.0594	5049171.1308
23	294159.8388	5049219.9296
24	294121.8722	5049271.0808
25	293668.7504	5050334.0743
26	293633.9235	5050380.8681
27	294000.5796	5050017.4134
28	293962.3943	5050069.0329
29	293918.2865	5050128.5062
30	294313.8625	5050374.0400
31	294278.0539	5050421.9813
32	294240.4079	5050472.3590
33	294504.7823	5050434.5497
34	294270.0195	5051078.6171
35	294265.0755	5051206.9135
36	295073.8665	5050353.2759
37	295006.4642	5050445.4756
38	294772.7528	5051347.1207
39	294725.2684	5051411.6770
40	295050.1578	5051202.8401
41	294982.7554	5051295.0399
42	295188.5360	5051124.5287
43	295104.0755	5051245.8621
44	295036.4771	5051337.7223
45	295258.7793	5051176.3582
46	295345.9634	5051170.3630
47	294728.8022	5052124.2566
48	294685.6889	5052182.6704
49	294639.6963	5052244.9852
50	294742.2759	5053351.4671
51	294810.7616	5053349.5395
52	295718.6316	5052221.7874
53	295638.8153	5052329.1601
54	295562.0875	5052432.5223
55	295476.6456	5052545.7922
56	295447.1172	5052587.0309
57	295826.2514	5052173.4761
58	295886.0718	5052197.9787
59	295720.8950	5052409.0351
60	295640.6201	5052516.3192
61	295588.9937	5052585.3200
62	295540.0006	5052650.7999
63	295502.0572	5052701.5141
